mi,mine,theirs,mine_hold1
23679,-0.4755654156386814,-0.416446562728222,-0.6988799703862618
23680,-0.113842848734822,-0.615293625819028,0.6225000192543045
23681,-3.750496454522599,-4.21079716058152,-3.219589940899924
23682,-0.9451281136223053,-0.499200418649942,-1.368391588312476
23683,0.43698141018951275,0.146818543646759,-0.0875774331637158
23684,-1.9243366149498478,-1.85529570965158,-1.4642544264334152
23685,-4.330690680226363,-4.16938537954526,-4.315499661291543
23686,1.0380899156435017,0.346463214515139,0.6578525452786519
23687,-1.1057778688686661,-1.93606414844994,-1.482223896178772
23688,-6.504838664480585,-6.6096672386836,-7.061025876664504
23689,9.529292457717657,9.77535969202631,11.30903295452775
23690,1.0430105629491342,0.778979862797839,1.2063499136406026
23691,3.714773300400816,3.52078056412846,4.017608010233278
23692,1.1987973461471269,1.14162095384889,1.2203931553093876
23693,0.4532415549352682,0.378037129869627,0.30444438860098844
23694,0.6363298418735883,0.436939112492244,0.7035768405145127
23695,-0.21183315024797378,-0.466710331458871,-0.1272082068828645
23696,1.5370880675995966,1.19605194713148,1.413238915407221
23697,0.9546628931344607,0.76738348696519,0.965140924298652
23698,-7.078523642698636,-7.08718938794937,-6.915627980516081
23699,-1.5917618915624248,-1.69137205273255,-1.922048251380179
23700,-5.085242098055729,-4.90536361818154,-5.375818033788812
23701,6.860226882650383,6.80570764652018,10.39871529944208
23702,2.157604087457276,1.90118835282095,2.452396537412
23703,3.9738387985199664,3.54100456471716,4.458631436685016
23704,-1.0942015936424283,-0.7048834113047,-1.3738286512032718
23705,1.604994064292788,1.64046063358694,1.4837393270684383
23706,1.3006414911562645,1.13990641754943,1.511328947020027
23707,5.484258549663024,6.14654142896261,6.211716793794679
23708,-0.9207976427050748,-0.81820269272326,-0.675420142935515
23709,0.2680273493963924,0.247344347392843,0.2748482441381934
23710,-3.4577748279176648,-3.51595345950407,-3.815020595929239
23711,-1.346548640964766,-1.40999613318319,-1.6538317233311406
23712,0.013994249775325134,-0.0721928575276222,0.6233843341260182
23713,4.690732969251127,4.20265594834523,4.572023747717324
23714,9.247396279286622,8.90367156842039,9.500031134229864
23715,1.4073115605172206,1.3108931482414,1.259176949590694
23716,0.914824684634359,1.15634303595445,1.4206568349373943
23717,-1.1947975909292177,-1.23605195035352,-0.9606497501793984
23718,-2.518096717350443,-2.44070471972714,-2.5884953980458287
23719,0.5386954972654089,0.419180435182861,0.484046752769576
23720,-0.6510374555856175,-0.398075370735363,-0.5260659166885444
23721,-1.473795134513791,-1.55969203114888,-1.4486928788933073
23722,-0.1570130104082544,-0.189837019575737,-0.33836697009776256
23723,-1.4857654236923692,-1.27094245373257,-1.511998462452777
23724,1.9204048309159216,2.05235881364258,2.3725413473891304
23725,6.8091773600913275,6.87942486148642,6.895318808328792
23726,3.1077232120287155,3.03573540314003,3.009691220276851
23727,1.496878203271429,1.5494318033661,1.4363700938566553
23728,0.40031107558722967,0.524733157664304,0.3959186243204816
23729,1.5212668768792745,1.55048764462162,1.5215717139785696
23730,-1.3897302727232748,-1.36752125387389,-1.5488574903969279
23731,2.9889443293541906,3.00417123127828,3.0545240022782383
23732,1.0474639414633904,1.31866700036239,1.158623729021926
23733,1.0645814390170634,1.13149753731439,1.0522022821932633
23734,1.1720278473798993,1.2186166826258,1.20702397296328
23735,-0.3254444200538767,-0.457393679058408,-0.3215679609123792
23736,1.142662592800518,1.09408586604187,1.26475880186136
23737,4.466895773280699,4.59638422420162,4.490265996159475
23738,2.8402308919111583,2.83380133260277,2.9209495377577404
23739,1.835302335027444,1.76938540345186,1.7280365477905117
23740,0.7033874729484284,0.679349785035522,0.7933159399292413
23741,4.488148886502077,4.29194549372202,4.525210283015372
23742,2.184921923196133,2.38186870742705,2.231449124343257
23743,-1.2119073169761998,-1.51272764111851,-1.4852770697109532
23744,5.459635213041209,5.73667205678967,5.452918891771683
23745,2.7966152420397576,2.8545722201841,3.2264343033781397
23746,-2.663271321596221,-2.57050493406852,-1.6511256729905777
23747,-1.9768864973701963,-2.34190347672053,-1.8764290541404736
23748,-0.8658952855781802,-0.906822296405869,-0.9303203065377549
23749,2.8431126931842714,2.82505552390577,3.3019413978971848
23750,1.5621895333493114,1.56446067086049,1.7389343043553454
23751,-0.8670120912435081,-0.963580839676685,-0.8272117930654216
23752,1.8951055513156778,1.89374897368286,2.081551379123451
23753,0.679600895856921,0.392822356687253,0.7292951963954798
23754,-0.47018109566819694,-0.497134060439743,-0.32575594804006913
23755,-1.36629715462662,-1.20589014669587,-1.2481601940997074
23756,0.1406994978529359,-0.0511154738506283,0.14900278366488245
23757,0.46592740243833,0.121646231719428,0.24588178586593362
23758,0.3552425298475351,0.350079938723811,0.31264460850451425
23759,-2.3915521799168906,-2.77748118053044,-2.711196671952418
23760,3.1120147001013714,3.08154305565096,3.0147029404044803
23761,6.677069836251043,6.5949048182732,6.892853461436185
23762,3.2006537914851148,3.11128400986801,2.9651018014396047
23763,-2.6773176046332408,-2.6257370693946,-2.1751202920044483
23764,-2.8827670018303273,-2.73121889319233,-2.841988966864743
23765,-1.816072279488023,-1.82450744257164,-1.8635054762447998
23766,-0.09264825014132488,-0.09500067741598,0.04795546455016314
23767,-1.1951182723547933,-0.873414756444639,-0.9928261655027942
23768,3.7073637537398696,3.80808862551256,3.284114241893077
23769,3.1988633976287173,3.37454193894566,4.035242018822527
23770,3.634240512783029,4.0375571609894,4.226638564264807
23771,-0.9576185122548005,-0.84840838110131,-1.0871614716870968
23772,-1.595374684728844,-1.4554158989692,-0.9466655320712565
23773,3.382774232415299,3.06212792010973,4.165703016095517
23774,-1.5705803167342425,-1.58965458693584,-1.612521505430764
23775,-0.460396043963383,-0.200701536246325,-0.537878522322742
23776,2.2676495609055127,2.41650246172284,2.2410899362364756
23777,0.7701750342035889,1.04043815695928,0.42615787031733304
23778,1.2662522125861302,1.05041322187857,1.2544220971839886
23779,-0.29991114329641255,-0.012971829280084,-0.008739083525326208
23780,-0.5744808176171858,-0.921252555420092,-0.8170135314131979
23781,-2.4526986027573696,-3.10577357183728,-3.209517542172524
23782,-1.3275256103236854,-1.41589104013089,-1.2622602516079358
23783,-3.2378815137642123,-3.58339497222213,-3.203719134239817
23784,0.17968398207317246,0.265712701688841,-0.11592147556248253
23785,2.7491613150636396,2.57345288486834,2.7514387187148865
23786,0.3394151914773503,0.591682544489302,-0.42124647992171294
23787,-0.031814026592018756,0.241523527662183,-0.33057618380953874
23788,-0.26407904417231076,-0.0638253190429579,-0.15289906678666657
23789,1.4886976559299503,1.5071655480053,1.562548362701234
23790,-0.7755515786269638,-0.159526636712737,-1.147434266833933
23791,0.7134134958318966,0.102494173612401,0.16408607198481265
23792,-6.006640222949847,-5.85296701850668,-5.826331582086465
23793,-0.12085208280012072,-0.534130417337057,-0.6720147862545399
23794,-1.815321467558435,-1.72408799549648,-1.9801587958044833
23795,3.7622315188201494,3.785036966808,3.053096677129716
23796,1.911251696220172,1.66308464784294,1.6603243699312646
23797,9.70868539210378,9.87060742591476,9.593415950749685
23798,1.8030049800267918,1.98729794996252,1.7946157028597123
23799,2.013501806491233,2.3147770440647,1.9642220576252063
23800,1.347336106810479,1.30454552128809,1.2584177553224163
23801,6.907562931681826,6.42656247016338,7.197225675502563
23802,2.5819982339185326,2.58130588631356,2.831332543461773
23803,1.4971564234934598,1.72588577884954,1.8942413437865722
23804,-2.2860676081235405,-2.11518933660064,-2.3165604460922484
23805,-3.1956704261175353,-2.14213280604258,-3.1802269134644505
23806,-0.7154101763798228,-0.980674987502003,-0.8912485099883731
23807,-3.1558745705005506,-3.30432342991427,-2.7629129330546105
23808,-0.8361440492732458,-0.60400983184026,-0.7626175920058178
23809,4.295457168689604,4.01182781478185,4.447311516238779
23810,-0.16615645278694502,0.144386514720249,0.00750247495770115
23811,-0.4016683007012754,-0.207838386851861,-0.5438943740641676
23812,-2.3503349670383833,-2.31657354802513,-2.418172169213019
23813,0.5606915498593358,0.751908530509767,0.6139174192186715
23814,-2.6102985436578767,-2.70930812158556,-2.4196969458113244
23815,-1.4352720301623227,-2.02834917419243,-1.6648644113299762
23816,-4.924984208921982,-5.2208089814117,-4.796048351121556
23817,0.3878996257908464,-0.0921030593869313,0.42479848641195334
23818,-2.3569718731173332,-2.93587262940133,-2.363266681620382
23819,-2.9002362336802765,-2.76133514026379,-3.261120723823596
23820,-2.516424075636284,-2.67334107149041,-2.582412144159081
23821,0.5258771178106111,0.203602274591859,1.1131875856018687
23822,5.093444042660885,4.88524810896366,5.228130353194724
23823,0.3460975800049797,1.37649061239455,0.3946853799319668
23824,-0.8318442617510595,-0.43452870026571,-1.181895780766245
23825,-3.2302025332080855,-3.12453011960861,-3.5988856016467787
23826,-2.5608662500913866,-2.18209440147139,-2.8576807584614077
23827,0.07767733185826292,0.0133364897966768,0.08123876676582147
23828,0.38479627126852733,0.106890426067425,0.14261730372206594
23829,-1.0078227374455864,-1.34430623037056,-1.0175428767173014
23830,-4.061451204226244,-4.48861573633409,-4.193290644677318
23831,-3.1430802567217224,-3.52181650655121,-3.226054207967901
23832,-2.6236108151103696,-3.28405601297319,-2.6970454340865517
23833,4.4348120658810934,4.52241313728812,4.555962807125711
23834,-1.8327342714160784,-1.79583010551376,-1.945314224200486
23835,-0.528513111690549,-0.86370823558399,-0.4124463337128369
23836,1.4879697677261847,1.56235908693801,1.3618418399014338
23837,-0.5410782427643365,-0.26584378050828,-0.8523790627917832
23838,0.2690066804092594,0.506097656874973,-0.08625882825261649
23839,0.7579664623422571,0.570731262971374,0.654019850129639
23840,-4.098260075683937,-4.04647040520396,-3.8911454953873528
23841,0.8753974145274843,1.18964535464178,1.0839193245798073
23842,-2.6189016441232855,-3.07090357240668,-2.2676476802507306
23843,-1.2745456578912173,-1.37858899132149,-1.155049706655859
23844,-1.547638790450536,-1.74198568613574,-1.7712642824063838
23845,-0.13943507945868389,-0.0395809640433296,-0.13488458208707754
23846,0.729196483807817,0.578303802142805,1.191177222081055
23847,3.0119812258444427,4.05489026852101,2.79286626543812
23848,1.6051509288377845,2.3209247514902,1.2509645491600683
23849,0.8976794477166575,0.940245623676691,0.7864153996737357
23850,-1.3918450425990763,-0.965686638139212,-1.4748261127997009
23851,0.4618182503320032,-0.022082788167217,0.20201349705987193
23852,-2.8942934822693003,-2.98172517082169,-3.0066162598943786
23853,1.0525023613490594,0.973919251632638,0.9379895361372393
23854,0.25837652348654117,0.578127164434864,0.997330284283382
23855,0.21735960579512195,0.353242510976875,0.13035148528678514
23856,-8.571093003147105,-8.743823232744,-8.573789655459962
23857,4.5162924435877105,4.57735738318568,5.4155313362653095
23858,-2.6468704401983576,-2.90737279932902,-2.461235316879509
23859,1.5021891536492868,1.25014685588331,1.4723453180454384
23860,0.06769070054467792,0.0254997005188433,0.17502092414350723
23861,0.1152561076469608,0.194666665694943,-0.036714376506745416
23862,-2.717182403029682,-2.98254343300057,-2.709472408310566
23863,1.9300201727247623,1.70207234582906,1.7329725064766834
23864,0.41734844095172896,0.173425859161446,0.23952283079397668
23865,-1.3556353762582651,-1.7983279453598,-1.5250522948983098
23866,-1.7475550475139396,-1.70516865032509,-1.7614004819026399
23867,-1.5856222150204724,-1.76794793939221,-1.831317579154015
23868,-2.3383303197523517,-2.41378585828677,-2.6334064993094772
23869,2.8000808849906145,2.68599798446714,2.5338915419397527
23870,0.036580039361417994,0.161478916890827,-0.15808394184496657
23871,-0.8105145631149505,-0.438372552815648,-0.7607676260276172
23872,-1.291245721596549,-1.16898934668363,-1.4558882743840251
23873,-1.239008667975495,-1.15187868947314,-1.668792089340074
23874,0.43099993033008505,0.447881052689354,0.3472883724266837
23875,-3.6001909124115596,-3.96966422846795,-3.9198041778491532
23876,-1.5075318246368554,-1.6853052024495,-1.4224596581905915
23877,1.0522363092589275,1.06939316908372,0.871225582367546
23878,0.7917966747391276,0.494402738387393,-0.031475254840152705
23879,-2.8301948562752277,-2.44450357689794,-3.2457704963701532
23880,-2.6613702086142816,-2.76737632285044,-3.489663812964067
23881,5.594386486484915,5.15011671824821,6.004861682296772
23882,-0.6140791281287311,-0.318058480009355,-0.8209977136123404
23883,-0.6891752313271247,-0.778999831593539,-1.0330539080007903
23884,2.242235697554582,2.02599260204515,1.7107395094074125
23885,-4.235176184584142,-3.60130952437001,-4.745428773547014
23886,1.0446087216308517,1.37449851628819,0.5282226221012929
23887,1.1647815683250748,1.22587271828858,1.1759630360882651
23888,2.0139396459553462,1.9764793588793,1.8021440890625642
23889,1.9005623439038475,1.43964589759155,1.5918528773140235
23890,-0.9002819214484216,-1.8746364897492,-1.4774349073644653
23891,-7.654823433930762,-7.61219172500811,-7.3878369079929795
23892,-6.535983091380464,-6.82415612373983,-7.056984626588076
23893,1.3226239970176092,0.983054853111794,2.2156100745982705
23894,4.043568816729694,3.71793546903021,5.353322749555667
23895,5.265091533490086,4.93323162882058,5.1647224742973545
23896,5.184932054454916,5.1994472664499,5.55695393502205
23897,-1.561438421402054,-0.941376632901428,-1.997391640802959
23898,1.6514543408441658,2.36428181991347,1.6801429039731415
23899,-0.6134940278131953,-1.4866733740291,-1.2856229481131198
23900,-0.6548403282236129,-0.926792375857949,-0.7425909520423938
23901,1.5502625777968688,0.939220764327141,0.7382082813245867
23902,0.47519642858247196,0.581317368761775,-0.27861684601041203
23903,3.924355966935943,4.26521431269546,3.8966954394340036
23904,-8.821564605889257,-8.68992796638886,-10.043071657970359
23905,17.32141583561975,16.7170240466476,18.325279865132465
23906,5.720793411849457,5.67869424902482,5.7553301972475275
23907,3.908034975273303,3.83404632144845,3.998293091831612
23908,-1.5541872093915305,-1.55259022858448,-1.2623728812522064
23909,-0.14304847151253436,-0.236706094661366,-0.2505640103571897
23910,-0.7077084549087158,-0.607973372437586,-0.8104623749428934
23911,-1.7499253369560395,-1.9080552213211,-2.033687931848082
23912,-0.18998334602725564,-0.131777788196119,0.06956073091960863
23913,-0.9379788320512215,-1.08166605157971,-1.1481390782967562
23914,-2.0690596611790624,-2.21338467195114,-2.352819472488422
23915,-0.8805876695783507,-0.832764198740743,-0.33625567325886035
23916,1.6686614083060856,1.72573256553302,1.7350189040211024
23917,8.195473124317852,8.20669705058828,7.8521509232715445
23918,1.511953852647968,1.52319442708396,1.3028230727907697
23919,0.2812966878414586,0.527500399900577,-0.02491031410779658
23920,2.6247475206593562,2.97454472822785,2.282106076214405
23921,-0.4119305813644157,-0.0134213957260094,-0.3456482200054172
23922,2.2919793598252527,2.90063202685801,1.482744879921536
23923,1.0724655323201495,0.902477343263604,0.85282534235377
23924,-0.7908703111052379,-1.2204767675779,-1.1148800074249163
23925,2.2248501379543812,1.98796052575778,1.5038019618474192
23926,3.0251592074779845,2.82632663193326,3.0716595900441694
23927,0.3867011094346038,0.424900724118165,0.839733896653637
23928,-3.1935243936836084,-3.15054336903257,-3.7099640593710577
23929,3.4499889978025804,3.59105126571019,3.3302693058882755
23930,0.5484620916540096,0.708949117890707,0.47497304609032953
23931,1.6602008539757338,1.81812595578602,1.7584814727360474
23932,-2.169897973992968,-2.05214533159609,-2.4925788747362163
23933,0.6832137835459303,0.642870141532454,0.832719609738088
23934,1.0148017151831294,0.93497345439203,0.6276640928178028
23935,-1.120203516559693,-1.00904184295209,-1.1403089463981846
23936,-3.3084753584374385,-3.04948680740385,-3.0381731430425027
23937,2.229967616218093,1.98153426405942,1.8213921538254518
23938,-0.0918737732911766,-0.456812122155775,-0.5672767306011729
23939,-0.5298095673800508,-0.464787756148962,-0.5809566377932827
23940,-4.2167705235577255,-4.1208927461063,-4.752772110134573
23941,4.296515992964353,4.30339856907196,5.016432375125991
23942,-2.1021334920169945,-2.26261311535087,-1.759534573316843
23943,-0.6453636788002094,-0.513816345063676,-1.111039266595709
23944,0.5152204904244461,0.798621787017431,0.3064499378501253
23945,-0.4084786670360138,-0.414502487626775,-0.6274669312659891
23946,1.5312988290404668,2.49135898743456,0.4331025001462978
23947,0.24039023242100802,-0.38539722007934,-0.2141058801837313
23948,2.4624202427290798,2.65661794496529,2.396035544757033
23949,1.910545799457774,1.32858237945802,1.5410102354298731
23950,-0.3088159692896398,-0.555071778216596,-0.6366560870993305
23951,-4.684725892007146,-4.88157294315487,-5.147777113702624
23952,-1.5619655791788212,-1.70919664869365,-1.8047151248561852
23953,4.265399634912939,4.32288548918426,4.1939684911338375
23954,1.2652054479477748,1.46245204875874,1.2346474769015983
23955,1.0759043678536724,1.27058199028488,1.0611516429894294
23956,0.2840827038794562,0.722882185268598,-0.2393639334977181
23957,6.527175810177688,7.02279798750738,5.97296069411013
23958,0.5779960017746194,0.61624830621057,0.8354203155834787
23959,-0.8700615551613007,-0.380349580286822,-0.2251735787757017
23960,-1.772997148944484,-2.06285261260965,-1.796925371101931
23961,-2.014920896281244,-2.35769856542037,-2.2802469340818856
23962,-1.7280602712227335,-1.86517452494116,-1.8762396982167355
23963,-3.289690267051964,-3.31128596515799,-3.118016565091761
23964,-2.9751279828464265,-2.82361144990633,-3.4202581037131767
23965,6.09873618013178,6.18909319287333,6.19497737299939
23966,0.9183068308435824,1.11596888788269,0.9098516907686091
23967,0.3414517937672817,0.507196513126497,-0.029835483008252422
23968,-2.853151106051877,-2.30096936202433,-3.275098049238722
23969,-5.485408701876082,-5.38612952442215,-5.147054737084191
23970,-1.1879950535800385,-0.213347417419084,-1.9999797912095267
23971,-1.9226194975853157,-2.29419391959513,-2.1089864196082657
23972,2.5840696811995745,2.64450867871106,2.445769168647515
23973,2.01676974639891,1.69794543645517,2.0085223332747524
23974,3.9996563773089107,3.81358501614493,3.77627770698376
23975,-2.9243096872974372,-3.0067195328539,-3.284011130695234
23976,-6.778715764387659,-7.21441021852422,-7.448986392327709
23977,4.0522851192056155,3.78193237975605,4.867289971098451
23978,-3.2748270517925433,-3.18928548076491,-2.9906585636856358
23979,0.432573676525232,0.225889153144159,0.19262262290991594
23980,2.973741255882587,3.04755616348374,2.6794484976442265
23981,1.284443519516749,1.32890736051591,1.1922305453019013
23982,-4.626367693579503,-4.06508629420074,-5.280638903099806
23983,2.0815300280754125,1.63258924637875,1.7018982653025352
23984,-0.18560424007451778,-0.037209373719147,-0.32569474675561705
23985,-5.630173263706633,-5.88532398472184,-5.001643649558513
23986,-5.456585534235564,-5.49145812836584,-4.424261312175355
23987,3.328986118617848,2.66683573829418,3.5118424531247943
23988,-4.605453577004517,-4.72064952661086,-5.134741274693418
23989,10.9563333224405,10.9381779729981,10.648256474280187
23990,3.1999418610641643,3.31774791638258,3.231944335937044
23991,-3.2076012248877426,-3.10771983779525,-3.8298443780167584
23992,-1.5170598268512985,-1.41411219782275,-1.9623382360833261
23993,2.0766272036014066,1.94948408313919,2.7983160843941035
23994,-2.8266782711164353,-2.31523883106363,-3.91835684577913
