mi,mine,theirs,mine_hold1,mine_noskip
23277,-82.52687308108109,-78.2279394736842,-92.69354,-89.08354
23278,14.049443922628106,12.5126918070175,11.724527378995434,5.3809584449518
23279,10.377733460994856,15.8442763157895,-1.4211441081081078,5.48030960779958
23280,7.646732986465918,8.52405053342817,7.280572594594595,6.967523226952981
23281,-1.7596668108108104,0.841350000000001,0.19421600000000017,-0.5934071231231232
23282,3.7964069849849853,4.51834271929824,5.124952,4.112925603603604
23283,1.88950190990991,3.31338592982456,2.1457079999999995,0.8223145705705706
23284,13.409903111111113,13.8688210526316,13.16768,12.78878323123123
23285,-1.5944182222222252,-4.24414885964912,-2.7608640000000015,-2.865013777777779
23286,-2.7862493023023016,-1.69919494736842,-0.7833360555555544,-2.218378481481481
23287,3.585283425925926,3.51112894736842,3.161828,2.881554574074074
23288,0.4244518518518518,0.390852631578949,0.4545053333333333,0.05966479629629645
23289,0.27263392389649915,0.329734139402559,0.3027578630136987,1.17002698934551
23290,6.274286277093995,4.05139736842105,5.728616918918919,4.9879445925925925
23291,4.729832914510402,6.25304342105263,4.565724666666666,3.990708441906696
23292,11.023142954379034,11.1441193684211,14.634774666666667,12.49176343685791
23293,-24.21137042556255,-22.4439194805195,-25.693801351351354,-25.456094535535538
23294,1.4018996894890565,1.30468181818182,0.9794470877192984,0.29480763521416165
23295,-0.6257415119741226,-1.05446753246753,-1.565377842105263,-0.8529500212288712
23296,4.572576707602338,5.13772467532467,5.640531578947368,5.697851421052632
23297,2.445425771929825,2.79492467532468,3.5195039473684213,1.7289811111111113
23298,-1.684425,-0.113329870129873,-2.6788092105263157,-2.401878070175439
23299,-13.36169649122807,-13.2953911754912,-10.275544736842107,-13.668418508771932
23300,3.048036842105263,4.09932840492841,3.770642105263158,2.2254728563833828
23301,1.6146731737677524,2.3708038961039,0.9173712406015034,0.9481804007869801
23302,7.991291303789779,10.3753884615385,10.411381083390294,8.673541068580542
23303,7.887967207792207,8.42137634032634,8.565796103896103,8.60800043859649
23304,8.112387398724081,7.14127161172162,10.211535099111414,7.8262009284575065
23305,-33.874986414900896,-15.3193497002997,-27.06418831168831,-32.609545135566194
23306,1.078834062428799,1.81297091242091,1.6268207792207792,0.8945783767402189
23307,-1.7814758019758021,-4.35855111555111,-3.554080652680653,-2.56967639027639
23308,0.19317060132849606,1.4223164556962,0.4408495004995006,-0.013478271728271582
23309,-5.764516761016761,-6.09686835443038,-5.334365384615385,-5.787676301476301
23310,-0.33338288933288945,-1.09396592015579,-1.1736128205128207,-1.3616587135087135
23311,2.8257239316239313,3.76173003894839,3.3967884615384607,3.1878517094017096
23312,0.7984073759573763,0.48682971437845,0.5203980685980686,0.23024156399156434
23313,-1.4231528860028866,0.999592405063292,-0.8749243589743605,-0.7421283771783781
23314,-14.829834554334557,-13.5320025316456,-14.070075641025644,-14.072150427350428
23315,3.860394871794872,1.83269746835443,0.2667487179487178,-0.7693887778887781
23316,2.1925130092130094,0.606355696202532,3.32755,0.9148338106338108
23317,1.220079209679211,16.190417721519,4.78123717948718,9.32705775890776
23318,18.7256141025641,25.6588139240506,20.168801282051284,14.393880802530804
23319,3.508064957264958,2.86679620253165,5.22046923076923,3.7315713675213678
23320,9.208550854700855,11.672346835443,10.688012820512823,9.472371383749865
23321,12.621705160662126,16.0464493670886,14.771857789678677,15.185136779184246
23322,-2.341092583576761,-2.66433164556962,-3.7156898734177215,-3.731145612896246
23323,-8.580006139078925,-9.62864683544304,-10.13147082116196,-9.462282738288435
23324,-1.5559989451476794,-2.55275443037975,-1.65833229470951,-1.8121497024775506
23325,4.385133928378232,3.98476663420967,3.4153533106134377,3.938881537379639
23326,-0.537529341123012,-3.06004341123012,-2.182629113924051,-2.0145755274261603
23327,-6.127574975868014,-6.55062070756248,-5.712369263226225,-5.147389029535865
23328,6.7581970085470084,6.07580231435232,5.987975641025642,5.240535789245915
23329,2.3555923076923073,4.27935316455696,1.1180068431568428,2.1216675845954325
23330,0.6009799685694424,2.16942357389446,2.1425000333000335,0.9684511817130237
23331,5.4760454831834835,5.22970198915009,6.010717865467866,4.352598682802578
23332,0.6102140970140972,2.32578481012658,3.192151282051282,1.6783050564990565
23333,3.445781968031968,3.20628227848102,2.6602538461538447,2.941368831168831
23334,-11.061424353424353,-9.23489164232392,-14.138775641025642,-12.274617621267623
23335,2.5432525641025645,2.95531012658228,2.313423076923077,1.2806609557109558
23336,2.219738467088467,-0.233817543005517,3.838548568098568,3.738747741147741
23337,-1.6257800477300477,-1.48672591691009,-1.0634000000000001,-1.7158281771674178
23338,-0.007130841029575248,-0.128896249999998,-0.5299468354430381,0.06608223106007909
23339,2.2112375513375513,2.1488164556962,2.4448474358974357,2.3053737260629665
23340,-3.3960156713188363,-2.29962658227848,-3.1194329113924057,-1.3715485286162503
23341,4.6988183922968725,3.65434125,4.3334761927945475,2.6665636860326734
23342,-0.29112879954082543,-0.512041613924046,2.2191654495293727,1.0338398958285029
23343,-3.9591174951630648,-2.0470746835443,-5.450163291139241,-4.793896989466231
23344,5.653285803040139,5.4066675,6.0772775,4.858473257059395
23345,-0.604180970464135,-1.1439025,-1.1059724999999991,-1.5474008333333331
23346,5.360826250000001,6.88140789556962,4.838781250000001,4.944470833333334
23347,-0.6576100000000005,-1.93552716049383,-0.8577550000000003,-2.0297116666666666
23348,-1.1933395833333338,-1.48268919753087,-4.52932625,-3.052225833333334
23349,-0.4634000000000002,-2.14716052469136,0.3201362499999999,-0.7017454269547333
23350,1.6580036985596704,-0.147993902439023,-0.12941640432098805,0.9968477469135801
23351,2.8301362860082295,2.69544390243902,3.362107608024689,2.726086929012345
23352,1.1017249671823721,0.896132776272206,0.6366296450617284,1.1603789342084698
23353,8.264551609952075,6.98631463414633,7.8712382716049385,8.020946403083816
23354,-3.2626999022633747,-2.75498780487805,-2.8771654320987645,-3.6869593044263778
23355,2.9017795789420857,3.57320757302018,2.080828304727491,2.3575180029860485
23356,5.2085831711081,4.31689104185486,6.278577777777778,5.117467385451169
23357,-0.7888107497741643,-1.5030032068654,0.2546841463414634,-1.8728779674796747
23358,-1.4549681270701593,-2.99184006323396,-1.4146695121951214,-1.7105186991869918
23359,0.3951243902439029,1.8784813253012,2.037812195121952,1.462931134293271
23360,-0.3042390243902441,-0.0298947693211895,0.17140121951219472,-0.09967983152120673
23361,2.99610020824037,3.29461626506024,4.237073464227281,4.049109187850469
23362,-0.4429221904782635,0.401835714285714,-0.019554216867469915,-0.10844750637600088
23363,0.2752312600401608,0.715736259323007,1.357882794593006,0.8105419708342554
23364,1.542768596336566,0.893768674698796,3.2104253012048196,2.5047979821725916
23365,-8.913440576941912,-8.16932823529412,-9.211316867469879,-9.313518052348769
23366,0.7088147064448269,-0.500928235294117,-0.7524619047619048,-0.5022056655192199
23367,3.1888651606425706,2.45448235294118,4.120028571428571,4.14506068627451
23368,6.760091185807658,7.81783139534884,7.636721176470589,7.559946489262372
23369,4.172681806722689,4.37302094391245,4.189901176470588,4.3971003921568625
23370,-1.683626274509804,-1.15300132694939,-3.1442211764705887,-2.832570756953945
23371,-2.0114995485636116,-2.44861704545455,-2.977215116279069,-3.321280734154127
23372,3.245905522115823,3.358575,3.5975267441860463,3.4809501603849236
23373,0.6550659449345095,-0.221321590909092,1.768086206896552,1.6284567923622757
23374,0.8848481545608454,1.71596293411644,0.6606886363636367,0.21605757140369233
