signal,in_sample,post_sample,post_pub
IndIPO,0.6687946878564215,-0.046642951616764676,0.41672273749384076
IndMom,0.320361096062416,0.32072380516424187,0.46293840600338715
IndRetBig,1.5179196488814308,1.5460959688843716,0.6031072813082752
IntanBM,0.4019190383026403,0.09097895737222239,0.12412356801506559
IntanCFP,0.32001117325440254,0.320383732894243,0.3370034082003689
IntanEP,0.332112919755362,0.040777681312888725,0.254062510194227
IntanSP,0.5225065186134255,-0.1345058784640729,0.19068047983340766
InvGrowth,0.7626602604226662,0.23657812855656427,0.40582383036787323
InvestPPEInv,0.6558562102848037,-0.5394190506689974,0.1961733137527711
Investment,0.19709576725270572,0.07814626103850845,0.04132630925656255
LRreversal,0.784520058681048,-0.6401737802871976,0.42011063014665784
Leverage,0.3481389486543266,1.1523878824807507,0.33688907790290773
MRreversal,0.49814076367359184,-0.14572243142407718,0.2952630117088957
MS,1.1620578757517106,-0.15219856997291273,0.5062824740975207
MaxRet,0.7133736577878056,-0.06694588512824394,0.37046482781186996
MeanRankRevGrowth,0.430473933210642,0.042100391151896975,0.03436511452905375
Mom12m,0.9735751242461848,-0.19158812611376297,0.8572209713406274
Mom12mOffSeason,1.01916096596774,1.3450840397136286,0.919191720245239
Mom6m,0.5557059491792786,-1.1595500493710444,1.0010174701323993
Mom6mJunk,1.9104824896195836,1.5632439931636235,0.6844507871265934
MomOffSeason,1.1131406019343282,0.1550363550851554,0.38904325699744885
MomOffSeason06YrPlus,0.5695960029449767,0.8296120748862582,0.47368456155864663
MomOffSeason11YrPlus,0.24095274165592298,0.5690682513960986,-0.06538112848701196
MomOffSeason16YrPlus,0.2651547533271363,0.19209199455972434,0.2712530754775411
MomRev,0.7185807461121776,1.5785727587846232,0.08046820639009193
MomSeason,0.818490262079764,0.8549590280250692,-0.06211007729758205
MomSeason06YrPlus,0.7851967259056142,0.28594663527157826,0.1309690571615448
MomSeason11YrPlus,0.6044818755941671,0.24707028410587487,0.2654663030043996
MomSeason16YrPlus,0.5095894891811077,0.12168857921255201,0.5972224404212652
MomSeasonShort,1.0964028431940935,-0.26409694154069663,0.06026931142144146
MomVol,0.9145436399737734,3.529829064469874,1.35600121170434
NetDebtFinance,0.7185302878634665,1.040608291488578,0.39251287862171474
NetDebtPrice,0.5467213411727078,0.48554853138639253,0.1305345737522273
NetEquityFinance,0.7116735997307342,0.6988946804049456,0.9905277695405222
NetPayoutYield,0.5900977453825488,0.9422317327578976,1.4150473464118145
NumEarnIncrease,0.4876306656625874,0.5102925713802988,0.29617411761737167
OPLeverage,0.3326298933149541,2.7894040684872494,0.008221818750946661
OScore,0.6574339952337485,1.5219302104022974,1.101473756463675
OperProf,0.43893266842252465,1.1335836403166022,0.44176008047316057
